16:37:14.064 INFO   - DlgSettingsGridDisplay::DlgSettingsGridDisplay
16:37:14.064 INFO   - DlgSettingsGridDisplay::createSubPanel
16:37:14.064 INFO   - DlgSettingsGridDisplay::createDisplayGridLinesX
16:37:14.065 INFO   - DlgSettingsGridDisplay::createDisplayGridLinesY
16:37:14.066 INFO   - DlgSettingsGridDisplay::createDisplayCommon
16:37:14.066 INFO   - DlgSettingsGridDisplay::createPreview
16:37:14.069 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGridRemoval
16:37:14.069 INFO   - DlgSettingsGridRemoval::DlgSettingsGridRemoval
16:37:14.069 INFO   - DlgSettingsGridRemoval::createSubPanel
16:37:14.069 INFO   - DlgSettingsGridRemoval::createRemoveGridLines
16:37:14.069 INFO   - DlgSettingsGridRemoval::createRemoveGridLinesX
16:37:14.069 INFO   - DlgSettingsGridRemoval::createRemoveGridLinesY
16:37:14.070 INFO   - DlgSettingsGridRemoval::createPreview
16:37:14.072 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsPointMatch
16:37:14.072 INFO   - DlgSettingsPointMatch::DlgSettingsPointMatch
16:37:14.072 INFO   - DlgSettingsPointMatch::createSubPanel
16:37:14.072 INFO   - DlgSettingsPointMatch::createControls
16:37:14.072 INFO   - DlgSettingsPointMatch::createPreview
16:37:14.073 INFO   - DlgSettingsPointMatch::createTemplate
16:37:14.075 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsSegments
16:37:14.075 INFO   - DlgSettingsSegments::DlgSettingsSegments
16:37:14.075 INFO   - DlgSettingsSegments::createSubPanel
16:37:14.075 INFO   - DlgSettingsSegments::createControls
16:37:14.075 INFO   - DlgSettingsSegments::createPreview
16:37:14.076 INFO   - DlgSettingsSegments::createPreviewImage
16:37:14.079 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGeneral
16:37:14.079 INFO   - DlgSettingsGeneral::DlgSettingsGeneral
16:37:14.079 INFO   - DlgSettingsGeneral::createSubPanel
16:37:14.079 INFO   - DlgSettingsGeneral::createControls
16:37:14.080 INFO   - DlgSettingsGeneral::createOptionalSaveDefault
16:37:14.080 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsMainWindow
16:37:14.080 INFO   - DlgSettingsMainWindow::DlgSettingsMainWindow
16:37:14.080 INFO   - DlgSettingsMainWindow::createSubPanel
16:37:14.080 INFO   - DlgSettingsMainWindow::createControls
16:37:14.087 INFO   - DlgSettingsMainWindow::createOptionalSaveDefault
16:37:14.087 INFO   - CreateCommandStackShadow::create
16:37:14.087 INFO   - CmdStackShadow::CmdStackShadow
16:37:14.087 INFO   - CreateZoomMaps::create
16:37:14.087 INFO   - MainWindow::updateControls selectedItems=0
16:37:14.087 INFO   - MainWindow::slotViewToolBarChecklistGuide
16:37:14.088 INFO   - MainWindow::slotCmbBackground
16:37:14.088 INFO   - BackgroundStateContext::setBackgroundImage background=Filtered
16:37:14.088 INFO   - BackgroundStateContext::requestStateTransition
16:37:14.088 INFO   - BackgroundStateContext::completeRequestedStateTransitionIfExists
16:37:14.088 INFO   - BackgroundStateUnloaded::end
16:37:14.088 INFO   - BackgroundStateCurve::begin
16:37:14.088 INFO   - MainWindow::slotViewZoom
16:37:14.088 INFO   - MainWindow::slotViewZoomFactor
16:37:14.088 INFO   - StatusBar::slotZoom zoom=11
16:37:14.088 INFO   - MainWindow::slotViewZoom
16:37:14.088 INFO   - MainWindow::slotViewZoomFactor
16:37:14.088 INFO   - StatusBar::slotZoom zoom=11
16:37:14.088 INFO   - MainWindow::updateSettingsMainWindow
16:37:14.088 INFO   - MainWindow::updateWindowTitle
16:37:14.088 INFO   - MainWindow::updateFittingWindow
16:37:14.088 INFO   - MainWindow::updateGeometryWindow
16:37:14.088 INFO   - MainWindow::setCurrentFile
16:37:14.088 INFO   - MainWindow::updateWindowTitle
16:37:14.171 INFO   - MainWindow::showEvent files=
16:37:17.157 INFO   - MainWindow::slotFileOpen
16:37:29.308 INFO   - GraphicsView::dragEnterEvent urls
16:37:29.312 INFO   - GraphicsView::dragMoveEvent
16:37:29.327 INFO   - GraphicsView::dragMoveEvent
16:37:29.341 INFO   - GraphicsView::dragMoveEvent
16:37:29.358 INFO   - GraphicsView::dragMoveEvent
16:37:29.373 INFO   - GraphicsView::dragMoveEvent
16:37:29.411 INFO   - GraphicsView::dragMoveEvent
16:37:29.425 INFO   - GraphicsView::dragMoveEvent
